#,ZIP Code,Latitude,Longitude,City,Population,Median HH Income,National Rank
1,77010,29.754310,-95.361109,Houston,76,200000.00,#1
2,77094,29.769285,-95.681292,Houston,7779,123244.00,#78
3,77046,29.733084,-95.430659,Houston,471,105863.00,#181
4,77059,29.615219,-95.134960,Houston,16690,104844.00,#197
5,77005,29.718435,-95.423555,Houston,23338,104035.00,#208
6,77024,29.771991,-95.515453,Houston,32746,82620.00,#706
7,77068,30.008830,-95.487234,Houston,9505,77724.00,#948
8,77095,29.916055,-95.663077,Houston,39275,76814.00,#992
9,77062,29.575781,-95.134334,Houston,26978,75689.00,#1066
10,77056,29.749035,-95.469021,Houston,14031,71926.00,#1336
11,77079,29.774523,-95.601071,Houston,30887,70587.00,#1485
12,77069,29.986925,-95.524903,Houston,14756,68662.00,#1673
13,77019,29.752702,-95.407379,Houston,15640,61899.00,#2584
14,77064,29.924216,-95.537411,Houston,35966,60945.00,#2783
15,77070,29.979670,-95.572835,Houston,32385,60887.00,#2797
16,77027,29.744002,-95.443213,Houston,14217,60032.00,#3021
17,77065,29.926556,-95.603242,Houston,27070,58426.00,#3288
18,77041,29.857989,-95.585771,Houston,25275,56746.00,#3689
19,77066,29.958498,-95.500223,Houston,27638,55760.00,#3932
20,77030,29.704849,-95.404429,Houston,10984,53199.00,#4624
21,77089,29.588469,-95.218012,Houston,36450,53123.00,#4660
22,77084,29.826860,-95.650860,Houston,63557,53075.00,#4672
23,77083,29.693991,-95.647830,Houston,52061,52931.00,#4714
24,77077,29.749158,-95.620344,Houston,42416,52667.00,#4794
25,77040,29.876755,-95.532143,Houston,39520,50183.00,#5854
26,77058,29.561579,-95.099626,Houston,15206,48744.00,#6436
27,77025,29.688811,-95.434780,Houston,23581,48232.00,#6626
28,77098,29.734813,-95.416098,Houston,12179,47703.00,#6859
29,77057,29.744068,-95.489210,Houston,35491,46563.00,#7466
30,77096,29.674133,-95.478354,Houston,33987,46140.00,#7694
31,77082,29.724490,-95.640002,Houston,36201,45598.00,#8027
32,77043,29.806532,-95.567179,Houston,24470,45141.00,#8291
33,77090,30.008250,-95.438998,Houston,25742,43965.00,#8918
34,77071,29.651669,-95.521998,Houston,25021,43444.00,#9254
35,77018,29.826448,-95.426267,Houston,26397,42921.00,#9595
36,77063,29.736295,-95.523292,Houston,27200,42458.00,#9920
37,77085,29.626362,-95.488475,Houston,7496,42256.00,#10069
38,77006,29.741003,-95.391271,Houston,18875,41746.00,#10544
39,77042,29.741325,-95.560254,Houston,36282,41683.00,#10590
40,77044,29.890649,-95.169294,Houston,13340,41231.00,#10964
41,77073,29.999296,-95.400207,Houston,12787,40155.00,#12014
42,77053,29.582750,-95.449620,Houston,25428,40134.00,#12028
43,77014,29.981209,-95.463971,Houston,20706,40040.00,#12105
44,77015,29.765809,-95.175116,Houston,50569,40032.00,#12111
45,77008,29.798249,-95.416933,Houston,28661,39926.00,#12196
46,77088,29.881487,-95.452619,Houston,47739,39436.00,#12608
47,77099,29.670869,-95.585990,Houston,43116,38589.00,#13384
48,77086,29.920445,-95.489262,Houston,19815,38453.00,#13506
49,77075,29.620420,-95.268939,Houston,22423,38188.00,#13742
50,77049,29.832928,-95.149040,Houston,16598,37972.00,#13954
51,77007,29.771530,-95.414883,Houston,22497,37785.00,#14121
52,77034,29.621703,-95.206676,Houston,26342,37521.00,#14358
53,77067,29.952629,-95.446609,Houston,24418,36856.00,#15141
54,77055,29.796871,-95.491650,Houston,43477,36760.00,#15243
55,77031,29.652205,-95.546230,Houston,17004,36591.00,#15425
56,77045,29.637640,-95.425544,Houston,25531,36543.00,#15481
57,77002,29.756845,-95.365652,Houston,13289,35588.00,#16757
58,77035,29.653039,-95.476515,Houston,39571,35524.00,#16824
59,77047,29.610638,-95.385224,Houston,11112,35384.00,#17030
60,77038,29.918595,-95.441194,Houston,20654,35325.00,#17109
61,77080,29.815893,-95.522964,Houston,46261,34877.00,#17624
62,77037,29.891373,-95.390561,Houston,18562,34004.00,#18581
63,77072,29.699688,-95.584817,Houston,51716,33979.00,#18604
64,77054,29.680250,-95.404913,Houston,16656,33799.00,#18786
65,77050,29.903351,-95.262070,Houston,4357,33449.00,#19212
66,77009,29.795344,-95.367590,Houston,42380,32995.00,#19751
67,77039,29.911171,-95.341182,Houston,27718,32310.00,#20532
68,77074,29.687947,-95.515725,Houston,39159,32238.00,#20636
69,77092,29.830858,-95.474872,Houston,37899,32095.00,#20844
70,77013,29.791808,-95.228991,Houston,18378,31834.00,#21213
71,77017,29.692600,-95.252270,Houston,32823,31762.00,#21306
72,77061,29.647012,-95.276630,Houston,25500,30440.00,#23064
73,77087,29.685621,-95.304159,Houston,36194,30346.00,#23206
74,77029,29.764519,-95.265896,Houston,18272,30308.00,#23263
75,77023,29.721825,-95.318275,Houston,33050,29698.00,#23924
76,77076,29.860021,-95.382184,Houston,30030,28270.00,#25402
77,77060,29.935512,-95.397624,Houston,36306,27867.00,#25810
78,77078,29.845618,-95.239696,Houston,14479,27556.00,#26072
79,77048,29.618714,-95.324221,Houston,14267,27391.00,#26246
80,77036,29.699048,-95.536507,Houston,76146,26931.00,#26706
81,77033,29.666880,-95.335133,Houston,27676,26544.00,#27067
82,77093,29.863400,-95.341409,Houston,45908,26270.00,#27279
83,77081,29.712099,-95.480935,Houston,49691,26026.00,#27514
84,77032,29.987805,-95.353412,Houston,10796,25713.00,#27740
85,77091,29.853067,-95.435966,Houston,24460,25405.00,#27959
86,77011,29.742988,-95.307114,Houston,23052,24612.00,#28435
87,77012,29.717567,-95.275115,Houston,25174,23910.00,#28853
88,77016,29.863166,-95.298522,Houston,29753,23835.00,#28900
89,77022,29.831590,-95.379553,Houston,31781,23746.00,#28986
90,77021,29.697363,-95.358898,Houston,24159,21950.00,#29829
91,77020,29.773179,-95.314327,Houston,28679,21864.00,#29879
92,77028,29.825122,-95.286360,Houston,16490,21131.00,#30183
93,77004,29.724893,-95.363752,Houston,30379,20840.00,#30266
94,77003,29.749563,-95.346265,Houston,9195,19252.00,#30724
95,77051,29.663567,-95.375573,Houston,13235,17529.00,#31025
96,77026,29.800187,-95.328888,Houston,27593,17183.00,#31112